phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,censoring
1,2,I→II,783,1031,15754,23144,0.7594568380213385,0.6806947805046665,1.11570833179928,1.0768298750772811,1.1559904776573886,1.4810293955042653,1.2805303974528521,1.7129215165144018,5.920611344606371e-08,no censoring (Tsepilov et al.)
2,3,II→III,395,783,4523,15754,0.5044699872286079,0.2871016884600736,1.7571125754586534,1.632348739282041,1.8914123731874222,2.5278843984126946,2.1882474039741706,2.920236313376995,1.7382266923839463e-35,no censoring (Tsepilov et al.)
3,4,III→Approved,276,395,2196,4523,0.6987341772151898,0.4855184611983197,1.4391505844919414,1.340023458354287,1.5456105577339132,2.457684713229554,1.967000955427221,3.070773368450315,2.015331089583247e-16,no censoring (Tsepilov et al.)
1,4,I→Approved,276,1031,2196,23144,0.2677012609117362,0.09488420324922225,2.8213469865852563,2.5312128216181473,3.1447370804739596,3.4871638982376143,3.0173697592424897,4.030103375936465,1.0230359139048121e-53,no censoring (Tsepilov et al.)
1,2,I→II,783,924,15754,20010,0.8474025974025974,0.7873063468265867,1.076331469723624,1.0463051413824254,1.107219478236309,1.500214737763324,1.2499878866981413,1.8005328558402143,6.457196896998669e-06,entry gate only (Minikel et al.)
2,3,II→III,395,783,4523,15754,0.5044699872286079,0.2871016884600736,1.7571125754586534,1.632348739282041,1.8914123731874222,2.5278843984126946,2.1882474039741706,2.920236313376995,1.7382266923839463e-35,entry gate only (Minikel et al.)
3,4,III→Approved,276,395,2196,4523,0.6987341772151898,0.4855184611983197,1.4391505844919414,1.340023458354287,1.5456105577339132,2.457684713229554,1.967000955427221,3.070773368450315,2.015331089583247e-16,entry gate only (Minikel et al.)
1,4,I→Approved,276,924,2196,20010,0.2987012987012987,0.10974512743628186,2.7217727627563693,2.4470819191837387,3.027298315600936,3.4551204209674156,2.9807362100184305,4.005002885952204,1.0497142289935296e-51,entry gate only (Minikel et al.)
1,2,I→II,783,924,15754,20010,0.8474025974025974,0.7873063468265867,1.076331469723624,1.0463051413824254,1.107219478236309,1.500214737763324,1.2499878866981413,1.8005328558402143,6.457196896998669e-06,per transition (this work)
2,3,II→III,395,595,4523,10853,0.6638655462184874,0.41675112872016956,1.5929544048439626,1.4981577341319083,1.693749381724557,2.7640393544107895,2.3218624121984974,3.2904247523855745,4.820077479934322e-32,per transition (this work)
3,4,III→Approved,276,319,2196,3199,0.8652037617554859,0.6864645201625508,1.2603765181492712,1.1998184065741186,1.3239911629943375,2.9316304485957554,2.1078299977081723,4.0773957560516925,1.416953449028118e-12,per transition (this work)
1,4,I→Approved,276,660,2196,13785,0.41818181818181815,0.15930359085963003,2.6250620963735716,2.380440384994092,2.8948219217152595,3.7930754781420766,3.2281945303380186,4.456801301059221,4.609702678604585e-53,per transition (this work)
