phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,rr_boot_ci_lower,rr_boot_ci_upper,or_boot_ci_lower,or_boot_ci_upper,experiment,censoring
1,2,I→II,783,924,15754,20010,0.8474025974025974,0.7873063468265867,1.076331469723624,1.0463051413824254,1.107219478236309,1.500214737763324,1.2499878866981413,1.8005328558402143,6.457196896998669e-06,1.0246118345166435,1.125948410502899,1.127580228091416,2.0699361034556567,Minikel et al. GE × Citeline,censored
2,3,II→III,395,595,4523,10853,0.6638655462184874,0.41675112872016956,1.5929544048439626,1.4981577341319083,1.693749381724557,2.7640393544107895,2.3218624121984974,3.2904247523855745,4.820077479934322e-32,1.4366801071312947,1.759872063968016,2.1195110897037184,3.6388971956293767,Minikel et al. GE × Citeline,censored
3,4,III→Approved,276,319,2196,3199,0.8652037617554859,0.6864645201625508,1.2603765181492712,1.1998184065741186,1.3239911629943375,2.9316304485957554,2.1078299977081723,4.0773957560516925,1.416953449028118e-12,1.1619973541867255,1.3622869583583812,1.8834841628959276,5.072508647669247,Minikel et al. GE × Citeline,censored
1,4,I→Approved,276,660,2196,13785,0.41818181818181815,0.15930359085963003,2.6250620963735716,2.380440384994092,2.8948219217152595,3.7930754781420766,3.2281945303380186,4.456801301059221,4.609702678604585e-53,2.1985463774803873,3.114727523000904,2.8945527446170742,4.969665946232889,Minikel et al. GE × Citeline,censored
1,2,I→II,717,831,15820,20103,0.8628158844765343,0.7869472218076904,1.0964088322143977,1.0660833966909973,1.1275968944727592,1.702769645352319,1.3934332466088202,2.080777441036054,4.945344050897025e-08,1.0544104625957815,1.1361432505214326,1.3271859558374186,2.2429436884570135,Combined GE × Citeline,censored
2,3,II→III,359,545,4559,10903,0.6587155963302752,0.4181417958360084,1.575340238383196,1.4771455644471476,1.6800624978338217,2.685808763004526,2.2408826415238203,3.2190747421411636,3.5029106295027493e-28,1.4416756591130118,1.7163975302778436,2.1421916674898744,3.390863228039606,Combined GE × Citeline,censored
3,4,III→Approved,247,281,2225,3237,0.8790035587188612,0.68736484399135,1.2788020312687431,1.2173963131219234,1.3433050663537562,3.304216787838731,2.2911613908977415,4.765202758919302,6.509477394966632e-13,1.198125829154768,1.3655022683491562,2.2362661303837776,5.6212712253327215,Combined GE × Citeline,censored
1,4,I→Approved,247,581,2225,13864,0.42512908777969016,0.16048759376803232,2.648984122686573,2.3922742730269304,2.9332409587663357,3.868442440960775,3.261653551854216,4.588116635048255,8.58844962910833e-49,2.2856997470268388,3.0551221288077004,3.082754219658379,4.850218922520464,Combined GE × Citeline,censored
1,2,I→II,589,664,15948,20270,0.8870481927710844,0.7867784903798717,1.1274433701699198,1.0962339993053227,1.1595412601192936,2.1282986372376893,1.6697754207301099,2.7127331214919983,3.340476017154254e-11,1.0833708137841773,1.1680939943216417,1.57990025136051,3.0074173728376734,Open Targets GE × Citeline,censored
2,3,II→III,310,445,4608,11003,0.6966292134831461,0.4187948741252386,1.6634138966916354,1.5585055016847296,1.7753840385650284,3.186808770576132,2.5945046575759094,3.914331049885127,6.404847959015727e-31,1.52520222779481,1.8130129116504887,2.5059144676979073,4.097652853212447,Open Targets GE × Citeline,censored
3,4,III→Approved,215,246,2257,3272,0.8739837398373984,0.6897921760391198,1.2670247216428745,1.2019557632124376,1.3356162467773522,3.1189703717466806,2.124937979350921,4.578004757957742,7.111648380569325e-11,1.18138469625291,1.3586993933657445,2.0688141303792946,5.383240252622788,Open Targets GE × Citeline,censored
1,4,I→Approved,215,456,2257,13989,0.47149122807017546,0.16134105368503823,2.922326446377353,2.6329865068994547,3.243462067434971,4.637264977377895,3.8374949180642917,5.603714644464668,1.1983249782501299e-51,2.522801233376325,3.3681942437115873,3.6596288914054083,5.8955783977810405,Open Targets GE × Citeline,censored
1,2,I→II,819,939,55334,66675,0.8722044728434505,0.8299062617172853,1.0509674562987867,1.0253030058112527,1.0772743159230287,1.3988203455380055,1.153715748423591,1.6959969227815863,0.000450743089333847,1.0175878381096086,1.081834548289994,1.1142808388157894,1.7776676224084693,Minikel et al. GE × Open Targets CT,censored
2,3,II→III,555,786,24372,47932,0.7061068702290076,0.50847033297171,1.3886884336048249,1.3263181946541307,1.4539916389601464,2.3225502546034305,1.9900513991994684,2.7106031971477638,7.211040429928748e-29,1.3115775951271298,1.4653695733349055,1.9584682230272912,2.7676017502340082,Minikel et al. GE × Open Targets CT,censored
3,4,III→Approved,294,527,5910,20123,0.5578747628083491,0.29369378323311635,1.899511650083318,1.75528032642929,2.055594456608638,3.034517766497462,2.5484521805308797,3.613290508464837,1.9796067239970201e-35,1.714713799934015,2.093178883105702,2.467694359658348,3.7557828207617594,Minikel et al. GE × Open Targets CT,censored
1,4,I→Approved,294,878,5910,55024,0.3348519362186788,0.10740767665018901,3.1175791774105894,2.831396639452421,3.432687526712525,4.183620749600167,3.6271446493621564,4.82547134687969,3.9609947405302166e-71,2.7400107503939073,3.5358002252713496,3.4923753581866643,5.02127136474315,Minikel et al. GE × Open Targets CT,censored
1,2,I→II,1466,1626,54687,65988,0.9015990159901599,0.8287415893798873,1.0879133224927071,1.0701871653337753,1.1059330887116252,1.8934191398321356,1.6063216637387014,2.231829477253342,2.27543112742918e-16,1.063602411550612,1.110891668234659,1.5475083493350423,2.332726258261509,Combined GE × Open Targets CT,censored
2,3,II→III,915,1366,24012,47352,0.6698389458272328,0.5070957932083122,1.3209317742300153,1.2713284513069525,1.372470466130686,1.972046127712197,1.7592305138241984,2.2106062277028573,4.345394885532779e-33,1.245481743835263,1.393787754226686,1.6777895314214073,2.3142073243468926,Combined GE × Open Targets CT,censored
3,4,III→Approved,444,826,5760,19824,0.5375302663438256,0.29055690072639223,1.8499999999999999,1.730299797555014,1.9779809284125993,2.837958115183246,2.46677810558537,3.264990168875856,1.765200557866169e-47,1.681945176861918,2.0239623575150687,2.364057655518174,3.3995216469767247,Combined GE × Open Targets CT,censored
1,4,I→Approved,444,1437,5760,54465,0.3089770354906054,0.10575599008537592,2.9216031663187194,2.694050067179141,3.168376551509717,3.7808094159113796,3.369481401101347,4.24235012390092,2.52514991911443e-94,2.5927483261635995,3.278179351929386,3.2090142972571716,4.445043075173832,Combined GE × Open Targets CT,censored
1,2,I→II,1140,1269,55013,66345,0.8983451536643026,0.8291958700731027,1.0833931837903432,1.063186456561908,1.1039839563786156,1.820356203332912,1.5156520745480149,2.1863175346497625,6.495161631278933e-12,1.054547087655839,1.1095727571697653,1.4459894212042959,2.3189890710382515,Open Targets GE × Open Targets CT,censored
2,3,II→III,747,1069,24180,47649,0.6987839101964453,0.5074608071523012,1.3770204523139131,1.322577905500915,1.4337040700620578,2.251661066843395,1.9734392862155767,2.569107443716156,3.954454535032817e-36,1.2920829904345372,1.4605389526080732,1.8624839204946264,2.723320322258113,Open Targets GE × Open Targets CT,censored
3,4,III→Approved,378,675,5826,19975,0.56,0.2916645807259074,1.9200137315482322,1.7897165050774562,2.0597970230901024,3.090940298973255,2.6471054769813733,3.609192007985898,5.965740582395926e-46,1.743865068793102,2.1001510801821737,2.549577647823262,3.7577336265013304,Open Targets GE × Open Targets CT,censored
1,4,I→Approved,378,1126,5826,54776,0.33570159857904086,0.10636044983204324,3.156263433533392,2.897110176735742,3.4385985530879846,4.245925970800267,3.7409003462825474,4.819130605131215,7.501631969031756e-92,2.7854810441292512,3.559455734162833,3.561187222730545,5.046631893645443,Open Targets GE × Open Targets CT,censored
1,2,I→II,17615,18816,1934605,2117862,0.9361713435374149,0.9134707549405957,1.0248509199380942,1.02101098052173,1.0287053010548932,1.3893379763157208,1.310199547280361,1.473256510002456,1.2884394235448898e-30,1.0188217428886466,1.0307914809312815,1.2715224684315147,1.5273875736512745,Minikel et al. GE × Combined CT,censored
2,3,II→III,13188,16650,1184476,1785118,0.7920720720720721,0.6635281253116041,1.1937279549380089,1.184391242228908,1.2031382701874733,1.9317072356204072,1.8605035310701665,2.0056359914575763,2.778197924793121e-290,1.1764871477114305,1.2105345865906543,1.8078057983205038,2.062137539049205,Minikel et al. GE × Combined CT,censored
3,4,III→Approved,9208,12507,622420,1075940,0.7362277124810106,0.5784895068498244,1.272672544209406,1.259236610713264,1.286251837823398,2.0337421977650934,1.9540894178768684,2.1166417918911313,1.089475614514085e-291,1.2492711691915137,1.295398650330936,1.9023545998522748,2.1733823423163643,Minikel et al. GE × Combined CT,censored
1,4,I→Approved,9208,17170,622420,1859839,0.5362842166569598,0.3346633767761618,1.602458631186439,1.5800925145469167,1.6251413388919447,2.299198027816021,2.2309149424176775,2.3695710986561513,0.0,1.5567543015243601,1.6478543030342554,2.166383572344429,2.4395142809771095,Minikel et al. GE × Combined CT,censored
1,2,I→II,17541,18544,1934679,2118134,0.9459124245038827,0.9133883880812074,1.035608112438346,1.0320243222059797,1.0392043476801498,1.6583418116218245,1.5558263347081513,1.767612170344854,6.520688251991559e-63,1.0308752911812464,1.0403332719023002,1.5298772377908745,1.8076264326781097,Combined GE × Combined CT,censored
2,3,II→III,12979,16603,1184685,1785165,0.7817261940613143,0.6636277318903294,1.17795890149826,1.168449894999435,1.1875452936042743,1.8153012256003336,1.7494424228713648,1.8836393222118495,1.0259684750813332e-242,1.1612049632541868,1.1941554478648033,1.705652386989336,1.9311791326684513,Combined GE × Combined CT,censored
3,4,III→Approved,8576,12221,623052,1076226,0.7017429015628835,0.5789230143111205,1.2121523660583964,1.1980884626518158,1.2263813602618552,1.7113070138819373,1.6459463560668453,1.7792631485023793,4.666434156162501e-171,1.1870166537454123,1.2368922656515928,1.5986132756702862,1.8306644935470764,Combined GE × Combined CT,censored
1,4,I→Approved,8576,16848,623052,1860161,0.5090218423551757,0.3349452009799152,1.519716780135921,1.4971398583484732,1.5426341626989966,2.058533403255561,1.9969799321516704,2.121984154218872,0.0,1.472626147841565,1.5677109502833446,1.9350339461390147,2.1904602554787878,Combined GE × Combined CT,censored
1,2,I→II,11920,12505,1940300,2124173,0.953218712514994,0.9134378414564163,1.0435507149508387,1.039483787252691,1.0476335542977344,1.9309430606157916,1.776902451556205,2.0983375311767043,6.040968755241116e-66,1.0380103731821277,1.048966813139105,1.7358066348578494,2.1621155735290016,Open Targets GE × Combined CT,censored
2,3,II→III,8884,11288,1188780,1790480,0.7870304748405387,0.663944863947098,1.185385289618338,1.1739981824801822,1.1968828451463724,1.870478015479117,1.7878755644656956,1.956896819850141,4.08187339346401e-181,1.165198221910659,1.2049298297124893,1.7336485208006593,2.018111259577845,Open Targets GE × Combined CT,censored
3,4,III→Approved,5879,8389,625749,1080058,0.7007986649183454,0.579366108116416,1.2095955477905331,1.1926905530886927,1.2267401510355362,1.7005167531532999,1.6226234626619496,1.7821492751072696,8.765938112039899e-116,1.1772280623756817,1.2401019351350806,1.5581564458745623,1.8491134903787207,Open Targets GE × Combined CT,censored
1,4,I→Approved,5879,11378,625749,1865631,0.5166988925997539,0.33540877054465756,1.540505013511442,1.5131977690092917,1.568305045947577,2.1183608008243664,2.0416283663095967,2.19797714242219,0.0,1.4815367632274137,1.5982134257284821,1.9595786606794565,2.2849174458290142,Open Targets GE × Combined CT,censored
1,2,I→II,783,1031,15754,23144,0.7594568380213385,0.6806947805046665,1.11570833179928,1.0768298750772811,1.1559904776573886,1.4810293955042653,1.2805303974528521,1.7129215165144018,5.920611344606371e-08,1.0488219913757784,1.1804698099114341,1.1729524544283123,1.898638549179471,Minikel et al. GE × Citeline,uncensored
2,3,II→III,395,783,4523,15754,0.5044699872286079,0.2871016884600736,1.7571125754586534,1.632348739282041,1.8914123731874222,2.5278843984126946,2.1882474039741706,2.920236313376995,1.7382266923839463e-35,1.5569048231290903,1.9674893955461292,2.0237207583821544,3.156739513751198,Minikel et al. GE × Citeline,uncensored
3,4,III→Approved,276,395,2196,4523,0.6987341772151898,0.4855184611983197,1.4391505844919414,1.340023458354287,1.5456105577339132,2.457684713229554,1.967000955427221,3.070773368450315,2.015331089583247e-16,1.2727957526944642,1.6174166666666667,1.7385643268800945,3.5677337646484375,Minikel et al. GE × Citeline,uncensored
1,4,I→Approved,276,1031,2196,23144,0.2677012609117362,0.09488420324922225,2.8213469865852563,2.5312128216181473,3.1447370804739596,3.4871638982376143,3.0173697592424897,4.030103375936465,1.0230359139048121e-53,2.315578049796577,3.3789885611077666,2.7119955976800934,4.410895992796037,Minikel et al. GE × Citeline,uncensored
