phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,source,ct_dimension
1,2,I→II,1929,2111,195977,227612,0.9137849360492658,0.8610134790784317,1.0612899312880872,1.0473660097513828,1.0753989605991086,1.710895851368968,1.468986143828381,1.992642766937849,1.358864391965878e-13,ChEMBL,gene_drug
2,3,II→III,1161,1774,90034,174699,0.6544532130777903,0.5153664302600472,1.269879399687639,1.227284993627296,1.3139520959878643,1.7810212969753207,1.6142721090796222,1.9649951470004592,5.491092486704208e-32,ChEMBL,gene_drug
3,4,III→Approved,713,1050,45126,78918,0.679047619047619,0.571808712841177,1.1875433231396533,1.1386769234980554,1.2385068277323172,1.5843337961324513,1.3907392443651967,1.8048772174493468,1.655357713848655e-12,ChEMBL,gene_drug
1,4,I→Approved,713,1845,45126,195218,0.386449864498645,0.23115696298497065,1.671807154361044,1.5775042490857265,1.7717474694553965,2.0949507065336808,1.9064306925066081,2.30211278073554,9.494363193835544e-50,ChEMBL,gene_drug
1,2,I→II,13862,14717,1316396,1445900,0.9419039206359991,0.9104336399474375,1.034566254263604,1.0303900110599742,1.0387594240747404,1.5949842853771459,1.4881932855671343,1.709438481729585,2.91654000978562e-45,DGIdb,gene_drug
2,3,II→III,10210,13081,795681,1211327,0.7805213668679765,0.6568672208247649,1.188248312783748,1.1773925529789153,1.1992041645423153,1.8577067849265783,1.782059210750983,1.9365655629971559,9.500934715067954e-208,DGIdb,gene_drug
3,4,III→Approved,6685,9582,405056,718984,0.6976622834481319,0.5633727593381772,1.23836708801418,1.2219606258625724,1.2549938289494367,1.7884133370217026,1.7116947511733602,1.8685704690305298,1.7928312972028084e-158,DGIdb,gene_drug
1,4,I→Approved,6685,13308,405056,1264134,0.5023294259092276,0.32042172744345143,1.5677133692435996,1.5411326710800368,1.5947525182129372,2.1407412830883015,2.06879683099278,2.215187674528365,0.0,DGIdb,gene_drug
1,2,I→II,7071,7508,770987,846523,0.9417954182205648,0.9107691108215606,1.034066051461733,1.0282270663695983,1.0399381943533668,1.5852812685919706,1.438875256220608,1.7465841390236938,2.7280410685781174e-23,STITCH,gene_drug
2,3,II→III,5205,6747,476758,714557,0.7714539795464651,0.6672077944796566,1.1562424568917218,1.1412055350730261,1.1714775104323838,1.6836367423141676,1.590291049648981,1.7824615693435115,8.215034357707984e-78,STITCH,gene_drug
3,4,III→Approved,3494,4944,257162,436148,0.7067152103559871,0.5896209543549438,1.1985924264329217,1.1770615255030377,1.220517172276439,1.6771316939892176,1.577058852660694,1.7835546937501092,1.3819177754301606e-64,STITCH,gene_drug
1,4,I→Approved,3494,6923,257162,749483,0.5046944966055178,0.3431191901617515,1.4709013983379864,1.4366733622797347,1.5059449005162096,1.9507291865540628,1.8605060372100808,2.0453276061281556,9.77555791622705e-166,STITCH,gene_drug
1,2,I→II,2665,2876,193390,220134,0.9266342141863699,0.878510361870497,1.054778923965574,1.0438657568446443,1.065806183550816,1.7466549067535115,1.5173284981344968,2.010641312699904,6.637536055604491e-17,Open Targets,gene_drug
2,3,II→III,1771,2463,104274,172319,0.7190418189200163,0.6051218960184309,1.1882594625168144,1.1589450930728689,1.2183153099315736,1.6700622199117243,1.528774090055671,1.8244080904556084,9.118040713481089e-32,Open Targets,gene_drug
3,4,III→Approved,1151,1642,54770,93060,0.7009744214372716,0.5885450247152375,1.1910293894276518,1.1534683724522288,1.2298135261954526,1.6388396281877893,1.4733488882736825,1.8229187589543898,1.0554404163647189e-20,Open Targets,gene_drug
1,4,I→Approved,1151,2545,54770,187849,0.45225933202357566,0.29156396893249364,1.5511495939619622,1.4853687741238282,1.6198435733695973,2.0062236130797655,1.8544043841881963,2.1704722119931925,7.513133770267694e-65,Open Targets,gene_drug
1,2,I→II,1607,1748,149673,171758,0.9193363844393593,0.8714179252203682,1.054989067624324,1.0403175680762833,1.069867477932688,1.681708441186657,1.4149351428494052,1.9987794461469965,3.3674423056779026e-10,TrialPanorama,gene_drug
2,3,II→III,974,1489,68797,134104,0.654130288784419,0.5130122889697548,1.2750772307970657,1.228392704832142,1.3235359816951044,1.7953203818579242,1.6126236564073253,1.9987151129205285,9.663581201783933e-28,TrialPanorama,gene_drug
3,4,III→Approved,646,904,36140,60961,0.7146017699115044,0.5928380439953412,1.205391214598097,1.156138964583351,1.256741641567193,1.7196653410724014,1.4871800683750098,1.9884941629946282,4.5747682281960535e-14,TrialPanorama,gene_drug
1,4,I→Approved,646,1560,36140,148353,0.41410256410256413,0.2436081508294406,1.6998715465497425,1.601354149745009,1.804449862155434,2.194529116649451,1.9828357614533678,2.428823474664511,6.325246468069102e-49,TrialPanorama,gene_drug
1,2,I→II,17541,18544,1934679,2118134,0.9459124245038827,0.9133883880812074,1.035608112438346,1.0320243222059797,1.0392043476801498,1.6583418116218245,1.5558263347081513,1.767612170344854,6.520688251991559e-63,All,gene_drug
2,3,II→III,12979,16603,1184685,1785165,0.7817261940613143,0.6636277318903294,1.17795890149826,1.168449894999435,1.1875452936042743,1.8153012256003336,1.7494424228713648,1.8836393222118495,1.0259684750813332e-242,All,gene_drug
3,4,III→Approved,8576,12221,623052,1076226,0.7017429015628835,0.5789230143111205,1.2121523660583964,1.1980884626518158,1.2263813602618552,1.7113070138819373,1.6459463560668453,1.7792631485023793,4.666434156162501e-171,All,gene_drug
1,4,I→Approved,8576,16848,623052,1860161,0.5090218423551757,0.3349452009799152,1.519716780135921,1.4971398583484732,1.5426341626989966,2.058533403255561,1.9969799321516704,2.121984154218872,0.0,All,gene_drug
1,2,I→II,9469,10163,578555,653973,0.9317130768473876,0.884677196153358,1.0531672805612544,1.0475629395913948,1.058801604109267,1.7785865595735295,1.646034324776717,1.921812991551505,2.9855684198203986e-56,Open Targets,drug_indication
2,3,II→III,6545,8874,313255,519221,0.7375478927203065,0.6033172772287716,1.2224876040482362,1.2071739203355074,1.2379955504971814,1.8477264913370757,1.761807627542971,1.9378353989476922,6.858537394997019e-153,Open Targets,drug_indication
3,4,III→Approved,2608,5950,76433,267789,0.43831932773109245,0.2854224781451068,1.5356860839399409,1.491222492843222,1.5814754402680082,1.9537199878643474,1.854923898167025,2.057778108715145,2.0251099222913873e-135,Open Targets,drug_indication
1,4,I→Approved,2608,8973,76433,549173,0.29064972695865376,0.13917836455907337,2.0883254942637968,2.0205629049199993,2.1583606030641254,2.53425682011454,2.419826444951412,2.654098455571683,1.9086283048983858e-295,Open Targets,drug_indication
1,2,I→II,13843,14618,1639291,1785383,0.9469831714324805,0.9181732995105252,1.031377379343653,1.027403348067709,1.0353667823084391,1.5918381048329293,1.4804466158383205,1.711610891530333,3.2692641101987926e-41,TrialPanorama,drug_indication
2,3,II→III,10543,13228,1023855,1523052,0.7970214696099184,0.6722390305780761,1.18562212748126,1.1753859743236226,1.195947424829619,1.9144914347568365,1.8348245259979235,1.997617429799627,2.380670530870708e-221,TrialPanorama,drug_indication
