phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,source,ct
1,2,I→II,330,411,16207,20523,0.8029197080291971,0.7896993616917605,1.0167409864801142,0.9686880640793941,1.0671776311923549,1.0849450054731724,0.8489000018811117,1.3866246463573875,0.5412774154298953,GWAS Catalog,Citeline CT
2,3,II→III,155,261,4763,11187,0.5938697318007663,0.4257620452310718,1.394839531735287,1.2588150772549196,1.5455624534893626,1.9721992243670747,1.5361706678025877,2.5319906584064116,8.4353108696382e-08,GWAS Catalog,Citeline CT
3,4,III→Approved,99,117,2373,3401,0.8461538461538461,0.6977359600117612,1.2127135401471685,1.1190642989683879,1.3141998469721736,2.382638010956595,1.4343218137089204,3.9579429365126257,0.0004152958262147085,GWAS Catalog,Citeline CT
1,4,I→Approved,99,304,2373,14141,0.3256578947368421,0.1678099144332084,1.9406356044979707,1.644019087106795,2.2907681419154726,2.3948937744750394,1.876559304355098,3.0564001775528107,4.3225981714009906e-11,GWAS Catalog,Citeline CT
1,2,I→II,154,161,16383,20773,0.9565217391304348,0.7886679824772541,1.2128319652662225,1.1726682666251642,1.2543712640957059,5.895135201123115,2.761984542122654,12.582481367840172,2.4721425350229132e-09,ClinVar,Citeline CT
2,3,II→III,102,120,4816,11328,0.85,0.4251412429378531,1.9993355481727575,1.8490331569676834,2.1618555725321285,7.662236987818384,4.63597588850856,12.663973469538405,1.3928028565016902e-21,ClinVar,Citeline CT
3,4,III→Approved,77,80,2395,3438,0.9625,0.6966259453170448,1.381659707724426,1.3161779166920196,1.4503993143624827,11.17759220598469,3.5190901327215958,35.503088244763035,3.638214849349303e-09,ClinVar,Citeline CT
1,4,I→Approved,77,105,2395,14340,0.7333333333333333,0.16701534170153418,4.390814196242171,3.890429478634375,4.955558097582896,13.715553235908143,8.879792087055714,21.184775355410874,5.44132075672037e-37,ClinVar,Citeline CT
1,2,I→II,589,664,15948,20270,0.8870481927710844,0.7867784903798717,1.1274433701699198,1.0962339993053227,1.1595412601192936,2.1282986372376893,1.6697754207301099,2.7127331214919983,3.340476017154254e-11,OpenTargets,Citeline CT
2,3,II→III,310,445,4608,11003,0.6966292134831461,0.4187948741252386,1.6634138966916354,1.5585055016847296,1.7753840385650284,3.186808770576132,2.5945046575759094,3.914331049885127,6.404847959015727e-31,OpenTargets,Citeline CT
3,4,III→Approved,215,246,2257,3272,0.8739837398373984,0.6897921760391198,1.2670247216428745,1.2019557632124376,1.3356162467773522,3.1189703717466806,2.124937979350921,4.578004757957742,7.111648380569325e-11,OpenTargets,Citeline CT
1,4,I→Approved,215,456,2257,13989,0.47149122807017546,0.16134105368503823,2.922326446377353,2.6329865068994547,3.243462067434971,4.637264977377895,3.8374949180642917,5.603714644464668,1.1983249782501299e-51,OpenTargets,Citeline CT
1,2,I→II,15,18,16522,20916,0.8333333333333334,0.7899215911264104,1.0549570269943107,0.8579439671478372,1.2972109734678032,1.3297421619658636,0.3847923871011592,4.595242204843304,1.0,Genebass,Citeline CT
2,3,II→III,8,11,4910,11437,0.7272727272727273,0.4293083850660138,1.6940566561747825,1.1789536719104428,2.4342160533582753,3.5448744059742023,0.9399621721811156,13.36876623978615,0.06506404557100029,Genebass,Citeline CT
3,4,III→Approved,6,7,2466,3511,0.8571428571428571,0.7023639988607234,1.2203684393465415,0.9011876562283343,1.652596013116905,2.542579075425791,0.3057278702836344,21.145302679783605,0.6816719809152025,Genebass,Citeline CT
1,4,I→Approved,6,13,2466,14432,0.46153846153846156,0.17087028824833703,2.701104248549504,1.4999185563943962,4.864240215195886,4.1591936044490785,1.3965944705822417,12.386481404353688,0.014352213910405798,Genebass,Citeline CT
1,2,I→II,741,819,55412,66795,0.9047619047619048,0.8295830526236994,1.0906224541357725,1.0663742071915485,1.115422081145177,1.9515357684256118,1.5440924222407386,2.4664921610830643,1.2527602944753656e-09,GWAS Catalog,Open Targets CT
2,3,II→III,452,682,24475,48036,0.6627565982404692,0.5095136980597885,1.300763062434287,1.2320756470914882,1.3732797564724415,1.8918278633921037,1.6125087440007078,2.2195307020953194,1.1885189443848806e-15,GWAS Catalog,Open Targets CT
3,4,III→Approved,214,419,5990,20231,0.5107398568019093,0.29608027284859867,1.7250046816292866,1.5669577223202225,1.8989926207050887,2.4818388370862006,2.044372606373059,3.0129165270889904,1.447178662777728e-19,GWAS Catalog,Open Targets CT
1,4,I→Approved,214,727,5990,55175,0.29436038514442914,0.10856366107838696,2.7114080551492283,2.416716116410315,3.0420344332573355,3.4253287643147936,2.913811247154084,4.026642822214993,5.80819029730083e-42,GWAS Catalog,Open Targets CT
1,2,I→II,213,232,55940,67382,0.9181034482758621,0.830192039417055,1.1058928593443715,1.0640365935972067,1.149395635176659,2.2930075456786407,1.433559771314449,3.667711461879377,0.00014950606191854176,ClinVar,Open Targets CT
2,3,II→III,136,201,24791,48517,0.6766169154228856,0.510975534348785,1.324166951134369,1.2029952400799722,1.4575436843456897,2.0024239565847406,1.4892614261606276,2.692409560517289,2.549358818597005e-06,ClinVar,Open Targets CT
3,4,III→Approved,77,116,6127,20534,0.6637931034482759,0.2983831693776176,2.224633195072123,1.9511011983010287,2.536512640618675,4.642498734060673,3.154666960906439,6.832034811548579,6.894247032121485e-16,ClinVar,Open Targets CT
1,4,I→Approved,77,200,6127,55702,0.385,0.10999605041111629,3.5001256732495514,2.9330741235189968,4.176805362778373,5.065244997153742,3.8051369122266387,6.742650126136345,6.723361419559344e-24,ClinVar,Open Targets CT
1,2,I→II,1140,1269,55013,66345,0.8983451536643026,0.8291958700731027,1.0833931837903432,1.063186456561908,1.1039839563786156,1.820356203332912,1.5156520745480149,2.1863175346497625,6.495161631278933e-12,OpenTargets,Open Targets CT
2,3,II→III,747,1069,24180,47649,0.6987839101964453,0.5074608071523012,1.3770204523139131,1.322577905500915,1.4337040700620578,2.251661066843395,1.9734392862155767,2.569107443716156,3.954454535032817e-36,OpenTargets,Open Targets CT
3,4,III→Approved,378,675,5826,19975,0.56,0.2916645807259074,1.9200137315482322,1.7897165050774562,2.0597970230901024,3.090940298973255,2.6471054769813733,3.609192007985898,5.965740582395926e-46,OpenTargets,Open Targets CT
1,4,I→Approved,378,1126,5826,54776,0.33570159857904086,0.10636044983204324,3.156263433533392,2.897110176735742,3.4385985530879846,4.245925970800267,3.7409003462825474,4.819130605131215,7.501631969031756e-92,OpenTargets,Open Targets CT
1,2,I→II,19,21,56134,67593,0.9047619047619048,0.8304706108620715,1.0894568608788155,0.9482600846635706,1.251677963580028,1.9392970392275626,0.4516560255191882,8.326852281077368,0.5609870663802565,Genebass,Open Targets CT
2,3,II→III,16,19,24911,48699,0.8421052631578947,0.5115300108831804,1.646248011341428,1.3547307765825387,2.0004952730772243,5.092904071829045,1.4837953740405714,17.480625926350715,0.004611339180211955,Genebass,Open Targets CT
3,4,III→Approved,12,16,6192,20634,0.75,0.3000872346612387,2.4992732558139537,1.882003957135449,3.3189977011176524,6.997093023255814,2.2558288331374454,21.703468834557693,0.00026842961332049876,Genebass,Open Targets CT
1,4,I→Approved,12,21,6192,55881,0.5714285714285714,0.11080689321952006,5.156976744186046,3.558034223850017,7.474466929466153,10.699612403100776,4.506591449322004,25.403169305220963,3.860207993516431e-07,Genebass,Open Targets CT
1,2,I→II,9553,10109,1942667,2126569,0.9449995053912356,0.9135217338351118,1.0344576055393613,1.0295854411399614,1.0393528258066729,1.6264962848874158,1.4930020751541904,1.7719266495187902,6.886704755616464e-33,GWAS Catalog,Combined CT
2,3,II→III,7353,9161,1190311,1792607,0.8026416330094968,0.6640111301584787,1.2087773782013733,1.196501657595657,1.2211790437361525,2.0578592708533088,1.954477077052276,2.1667098726088794,4.9452684058566404e-189,GWAS Catalog,Combined CT
3,4,III→Approved,5147,6967,626481,1081480,0.7387684799770345,0.5792811702481784,1.2753193404517669,1.2575198067507067,1.2933708172222518,2.053928486223879,1.9467607527856245,2.1669957237865405,4.74147547164739e-168,GWAS Catalog,Combined CT
1,4,I→Approved,5147,9331,626481,1867678,0.5516021862608509,0.3354330885730838,1.6444477454723982,1.6144588460848248,1.6749936947275845,2.437223210564758,2.3395261383071575,2.539000048280595,0.0,GWAS Catalog,Combined CT
1,2,I→II,1522,1617,1950698,2135061,0.9412492269635127,0.9136497739408851,1.030207913152084,1.0177318306593388,1.042836936360327,1.514170479651791,1.2306517717567729,1.8630064930358452,3.691112993160418e-05,ClinVar,Combined CT
2,3,II→III,1027,1384,1196637,1800384,0.7420520231213873,0.6646565399381466,1.116444326554649,1.0822796867359294,1.1516874515637017,1.4514256245143822,1.2867080079743687,1.6372295271662978,5.807982321089731e-10,ClinVar,Combined CT
3,4,III→Approved,546,927,631082,1087520,0.5889967637540453,0.5802946152714433,1.014996086907564,0.9618341486611804,1.0710963609180149,1.0364865421609237,0.9093226346905975,1.1814336420276692,0.6175484870938048,ClinVar,Combined CT
