phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,experiment,stratum,pairs
1,2,I→II,783,924,15754,20010,0.8474025974025974,0.7873063468265867,1.076331469723624,1.0463051413824254,1.107219478236309,1.500214737763324,1.2499878866981413,1.8005328558402143,6.457196896998669e-06,Minikel et al. GE × Citeline CT,with oncology,43962
2,3,II→III,395,595,4523,10853,0.6638655462184874,0.41675112872016956,1.5929544048439626,1.4981577341319083,1.693749381724557,2.7640393544107895,2.3218624121984974,3.2904247523855745,4.820077479934322e-32,Minikel et al. GE × Citeline CT,with oncology,43962
3,4,III→Approved,276,319,2196,3199,0.8652037617554859,0.6864645201625508,1.2603765181492712,1.1998184065741186,1.3239911629943375,2.9316304485957554,2.1078299977081723,4.0773957560516925,1.416953449028118e-12,Minikel et al. GE × Citeline CT,with oncology,43962
1,4,I→Approved,276,660,2196,13785,0.41818181818181815,0.15930359085963003,2.6250620963735716,2.380440384994092,2.8948219217152595,3.7930754781420766,3.2281945303380186,4.456801301059221,4.609702678604585e-53,Minikel et al. GE × Citeline CT,with oncology,43962
1,2,I→II,740,876,10952,14087,0.8447488584474886,0.7774543905728686,1.0865574478588178,1.0547274413063048,1.1193480336827661,1.5575317965023847,1.29173209275349,1.8780251034444941,1.4776732842677733e-06,Minikel et al. GE × Citeline CT,without oncology,33180
2,3,II→III,382,565,3413,7871,0.6761061946902654,0.43361707533985516,1.5592241014963608,1.4648919025490283,1.6596308536190878,2.7265662150024257,2.2734254816207518,3.270027271574677,5.585714737009297e-29,Minikel et al. GE × Citeline CT,without oncology,33180
3,4,III→Approved,266,309,1673,2440,0.86084142394822,0.6856557377049181,1.2555009410840747,1.1915695272803117,1.3228624742198392,2.8360416463948623,2.0322001708330943,3.9578444759153943,2.0625144390109197e-11,Minikel et al. GE × Citeline CT,without oncology,33180
1,4,I→Approved,266,628,1673,10033,0.42356687898089174,0.1667497259045151,2.540135383631373,2.2956936066835785,2.8106049293299447,3.671837074366028,3.1078520041981355,4.338169089929846,5.898297563970542e-48,Minikel et al. GE × Citeline CT,without oncology,33180
1,2,I→II,1140,1269,55013,66345,0.8983451536643026,0.8291958700731027,1.0833931837903432,1.063186456561908,1.1039839563786156,1.820356203332912,1.5156520745480149,2.1863175346497625,6.495161631278933e-12,Open Targets GE × Open Targets CT,with oncology,70537
2,3,II→III,747,1069,24180,47649,0.6987839101964453,0.5074608071523012,1.3770204523139131,1.322577905500915,1.4337040700620578,2.251661066843395,1.9734392862155767,2.569107443716156,3.954454535032817e-36,Open Targets GE × Open Targets CT,with oncology,70537
3,4,III→Approved,378,675,5826,19975,0.56,0.2916645807259074,1.9200137315482322,1.7897165050774562,2.0597970230901024,3.090940298973255,2.6471054769813733,3.609192007985898,5.965740582395926e-46,Open Targets GE × Open Targets CT,with oncology,70537
1,4,I→Approved,378,1126,5826,54776,0.33570159857904086,0.10636044983204324,3.156263433533392,2.897110176735742,3.4385985530879846,4.245925970800267,3.7409003462825474,4.819130605131215,7.501631969031756e-92,Open Targets GE × Open Targets CT,with oncology,70537
1,2,I→II,922,1010,29535,34562,0.9128712871287129,0.854551241247613,1.0682464000590004,1.0475721864785763,1.0893286266744076,1.7832825461317081,1.4300997380217897,2.2236887084091856,4.201918215857822e-08,Open Targets GE × Open Targets CT,without oncology,36773
2,3,II→III,645,879,15758,26363,0.7337883959044369,0.5977316693851231,1.2276217464924908,1.178270426100834,1.2790401244716485,1.8550406631064076,1.5941183618667956,2.1586702368502073,1.2061492229576949e-16,Open Targets GE × Open Targets CT,without oncology,36773
3,4,III→Approved,323,587,4160,13352,0.5502555366269165,0.3115638106650689,1.7661086358275455,1.6346335992039411,1.9081583267734372,2.703430944055944,2.2883526839302433,3.193799155437354,2.1044440100653886e-31,Open Targets GE × Open Targets CT,without oncology,36773
1,4,I→Approved,323,909,4160,28984,0.35533553355335534,0.14352746342809827,2.4757319962765507,2.258202479239841,2.7142158303938766,3.2891474140194275,2.860197498474054,3.7824278627341177,9.918893970751443e-55,Open Targets GE × Open Targets CT,without oncology,36773
1,2,I→II,17541,18544,1934679,2118134,0.9459124245038827,0.9133883880812074,1.035608112438346,1.0320243222059797,1.0392043476801498,1.6583418116218245,1.5558263347081513,1.767612170344854,6.520688251991559e-63,Combined GE × Combined CT,with oncology,2236441
2,3,II→III,12979,16603,1184685,1785165,0.7817261940613143,0.6636277318903294,1.17795890149826,1.168449894999435,1.1875452936042743,1.8153012256003336,1.7494424228713648,1.8836393222118495,1.0259684750813332e-242,Combined GE × Combined CT,with oncology,2236441
3,4,III→Approved,8576,12221,623052,1076226,0.7017429015628835,0.5789230143111205,1.2121523660583964,1.1980884626518158,1.2263813602618552,1.7113070138819373,1.6459463560668453,1.7792631485023793,4.666434156162501e-171,Combined GE × Combined CT,with oncology,2236441
1,4,I→Approved,8576,16848,623052,1860161,0.5090218423551757,0.3349452009799152,1.519716780135921,1.4971398583484732,1.5426341626989966,2.058533403255561,1.9969799321516704,2.121984154218872,0.0,Combined GE × Combined CT,with oncology,2236441
1,2,I→II,13707,14486,1441238,1564351,0.9462239403562059,0.9213009100898711,1.0270519978797195,1.0230450220011806,1.0310746679411593,1.503049090225439,1.398039206850966,1.615946503185837,1.3371979875609421e-31,Combined GE × Combined CT,without oncology,1646123
2,3,II→III,10681,13112,947847,1343871,0.8145973154362416,0.7053110008326692,1.1549476960866232,1.1454715966164526,1.164502188125788,1.8357359897522838,1.7563642408918687,1.9186946224551769,1.5702813913456678e-179,Combined GE × Combined CT,without oncology,1646123
3,4,III→Approved,7685,10185,563928,880614,0.7545409916543937,0.6403804618141433,1.1782698515142753,1.165162158569413,1.191525001714828,1.7262713750691578,1.6497559975023455,1.8063355216739705,1.6361458962119555e-133,Combined GE × Combined CT,without oncology,1646123
1,4,I→Approved,7685,13395,563928,1399751,0.5737215378872713,0.40287736890346926,1.4240599799606437,1.4032289229010615,1.4452002758985998,1.994795697298218,1.927322755004541,2.0646307753213384,0.0,Combined GE × Combined CT,without oncology,1646123
