phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,threshold,n_pairs
1,2,I→II,2441,2748,53712,64866,0.8882823871906841,0.828045509203589,1.0727458543251212,1.0581332109433923,1.0875602958778112,1.6511583312229101,1.463821626410164,1.8624699796605595,5.372042557909218e-18,0.0,1013316
2,3,II→III,1479,2258,23448,46460,0.6550044286979628,0.5046922083512699,1.2978294847026335,1.2578863418664816,1.3390409890803072,1.86328495052445,1.7052094801335544,2.0360142535560986,6.52849663192468e-45,0.0,1013316
3,4,III→Approved,620,1318,5584,19332,0.47040971168437024,0.2888475067246017,1.6285745963972502,1.5315810904076,1.7317106045783193,2.1869073324521144,1.9541231216706734,2.4474218782304673,5.082406530943732e-41,0.0,1013316
1,4,I→Approved,620,2404,5584,53498,0.2579034941763727,0.10437773374705596,2.470866964800786,2.2987383322809483,2.6558845223962106,2.982042703688951,2.7104752380721373,3.280819009787183,2.1359470174647666e-94,0.0,1013316
1,2,I→II,1630,1830,54523,65784,0.8907103825136612,0.8288185577040009,1.0746747575019477,1.057172371181227,1.0924669106906555,1.6832740311428205,1.451357059654697,1.9522497548562712,3.068151591317236e-13,0.25,486119
2,3,II→III,1032,1514,23895,47204,0.6816380449141347,0.5062071010931277,1.3465596263706556,1.2995187376218282,1.3953033341325656,2.0885711085584493,1.8717141606385486,2.330553119295148,3.843819924602148e-42,0.25,486119
3,4,III→Approved,484,939,5720,19711,0.5154419595314164,0.2901932930850794,1.7762021790775782,1.6631794928540242,1.8969054119024296,2.601876584953508,2.2809804804403,2.9679174466335443,5.408386792752127e-45,0.25,486119
1,4,I→Approved,484,1621,5720,54281,0.2985811227637261,0.10537757226285441,2.833440895933185,2.6194276287104565,3.064939539749384,3.6139029835599756,3.23795573094023,4.0335001031009385,4.894988298654808e-97,0.25,486119
1,2,I→II,1140,1269,55013,66345,0.8983451536643026,0.8291958700731027,1.0833931837903432,1.063186456561908,1.1039839563786156,1.820356203332912,1.5156520745480149,2.1863175346497625,6.495161631278933e-12,0.5,227775
2,3,II→III,747,1069,24180,47649,0.6987839101964453,0.5074608071523012,1.3770204523139131,1.322577905500915,1.4337040700620578,2.251661066843395,1.9734392862155767,2.569107443716156,3.954454535032817e-36,0.5,227775
3,4,III→Approved,378,675,5826,19975,0.56,0.2916645807259074,1.9200137315482322,1.7897165050774562,2.0597970230901024,3.090940298973255,2.6471054769813733,3.609192007985898,5.965740582395926e-46,0.5,227775
1,4,I→Approved,378,1126,5826,54776,0.33570159857904086,0.10636044983204324,3.156263433533392,2.897110176735742,3.4385985530879846,4.245925970800267,3.7409003462825474,4.819130605131215,7.501631969031756e-92,0.5,227775
1,2,I→II,480,520,55673,67094,0.9230769230769231,0.8297761349748115,1.112440915289693,1.0849234051114027,1.140656367242347,2.4617318987660086,1.7819100042706,3.4009147077451454,1.0538077693437415e-09,0.75,51996
2,3,II→III,325,453,24602,48265,0.717439293598234,0.5097275458406713,1.4074956306608717,1.3275858294307687,1.4922153478987197,2.442152505385741,1.988888162353504,2.998715047156982,3.53063803297349e-19,0.75,51996
3,4,III→Approved,189,292,6015,20358,0.6472602739726028,0.2954612437371058,2.190677416048919,2.0075626243406495,2.390494564403908,4.37551267462412,3.4352832723611018,5.573080776141556,1.0384669007289015e-34,0.75,51996
1,4,I→Approved,189,460,6015,55442,0.4108695652173913,0.1084917571516179,3.7871039791824788,3.385845516063302,4.235915809240844,5.730877603040369,4.75029930296667,6.913871317649091,7.8433777530601e-62,0.75,51996
