phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,subsource,threshold
1,2,I→II,315,344,55838,67270,0.9156976744186046,0.8300579753233239,1.1031731537329332,1.0681682749416503,1.1393251753180418,2.2238470649699686,1.519476533087444,3.2547365231937655,6.836174680493549e-06,cancer_biomarkers,0.0
2,3,II→III,135,277,24792,48441,0.48736462093862815,0.5117978571870936,0.9522599872091032,0.8436586646285502,1.0748411902327002,0.9068733553304337,0.7160351955799278,1.1485738238637686,0.43359256173921856,cancer_biomarkers,0.0
3,4,III→Approved,51,108,6153,20542,0.4722222222222222,0.29953266478434426,1.5765299673149502,1.2901381885657337,1.9264965256203963,2.0923725696493793,1.4323867657513842,3.056453099749617,0.00019511992579678163,cancer_biomarkers,0.0
1,4,I→Approved,51,279,6153,55623,0.1827956989247312,0.11061970767488269,1.6524695532732525,1.2879521381208245,2.120153027176338,1.798416690189638,1.3259850458421092,2.439169733998474,0.0003631432333413496,cancer_biomarkers,0.0
1,2,I→II,3540,4333,52613,63281,0.8169859219939996,0.83141859325864,0.9826409087051164,0.9684734646934403,0.9970156030722657,0.9051488744253077,0.8357540054517308,0.9803057831958186,0.015189909790970457,cancer_gene_census,0.0
2,3,II→III,997,3066,23930,45652,0.32517938682322245,0.5241829492683782,0.6203547583474196,0.5890769461032043,0.6532933070119887,0.4374130928434937,0.40468749356906303,0.4727850917840605,1.1500674655842988e-102,cancer_gene_census,0.0
3,4,III→Approved,277,774,5927,19876,0.3578811369509044,0.2981988327631314,1.2001426485635525,1.0894732121655302,1.3220539622430834,1.3116909657710054,1.1289042543044026,1.5240736166287323,0.0004995343968553154,cancer_gene_census,0.0
1,4,I→Approved,277,3636,5927,52266,0.07618261826182618,0.11340068113113688,0.6718003587097363,0.5984018021925572,0.7542018094011411,0.6447353689397444,0.5687095623366928,0.7309244005919692,5.020838805195257e-13,cancer_gene_census,0.0
1,2,I→II,56153,67614,0,0,0.8304936847398467,0.0,,,,,,,,chembl,0.0
2,3,II→III,24927,48718,0,0,0.5116589350958578,0.0,,,,,,,,chembl,0.0
3,4,III→Approved,6204,20650,0,0,0.3004358353510896,0.0,,,,,,,,chembl,0.0
1,4,I→Approved,6204,55902,0,0,0.11097992916174734,0.0,,,,,,,,chembl,0.0
1,2,I→II,92,97,56061,67517,0.9484536082474226,0.8303242146422383,1.142268997485618,1.0903496278957168,1.1966606208092276,3.7600185512209916,1.5283268796629321,9.250468400218178,0.0009598354963568304,clingen,0.0
2,3,II→III,65,85,24862,48633,0.7647058823529411,0.5112166635823412,1.4958547653636307,1.329038079906822,1.683609757229799,3.1073827527954307,1.8819238924324635,5.130827878427091,2.001697912475809e-06,clingen,0.0
3,4,III→Approved,34,57,6170,20593,0.5964912280701754,0.299616374496188,1.990849896215417,1.6064465365365859,2.4672363624412914,3.4555845254034248,2.0339877010038614,5.8707652982926986,3.7981266766191242e-06,clingen,0.0
1,4,I→Approved,34,82,6170,55820,0.4146341463414634,0.11053385883195987,3.7511957939676637,2.8974441827621193,4.856511117072299,5.699959481361426,3.6705041761128516,8.851519172924409,1.8026835502593251e-12,clingen,0.0
1,2,I→II,124,145,56029,67469,0.8551724137931035,0.8304406468155746,1.0297814986204803,0.9629798248565737,1.101217188074512,1.2056341571414124,0.7588652228344062,1.9154306682245568,0.5059932659449199,crispr,0.0
2,3,II→III,59,109,24868,48609,0.5412844036697247,0.5115925034458639,1.058038184734665,0.8899218283612814,1.2579136331760639,1.12652324272157,0.7725713870306714,1.6426373506653555,0.5657201430058498,crispr,0.0
3,4,III→Approved,20,48,6184,20602,0.4166666666666667,0.3001650325211144,1.388125269512721,0.9926052580405301,1.9412467828989532,1.6653576048789502,0.9374876078103489,2.958349453392677,0.08401559935839359,crispr,0.0
1,4,I→Approved,20,119,6184,55783,0.16806722689075632,0.11085814674721689,1.5160566166958376,1.0158063539115827,2.2626632095542973,1.6203104786545925,1.0013971900616965,2.621742974010265,0.05623646473287068,crispr,0.0
1,2,I→II,201,212,55952,67402,0.9481132075471698,0.8301237352007359,1.1421348015279942,1.1065245632763154,1.1788910505510801,3.7393252658122544,2.0373827261899824,6.862997935439469,3.205987338404696e-07,crispr_screen,0.0
2,3,II→III,61,98,24866,48620,0.6224489795918368,0.5114356232003291,1.2170622290579547,1.0428946305354143,1.4203165171528973,1.5749215796670153,1.0464562993836615,2.3702642753087075,0.033202879291850604,crispr_screen,0.0
3,4,III→Approved,15,50,6189,20600,0.3,0.3004368932038835,0.9985458070770722,0.6535290320191807,1.5257068622499044,0.9979225815386746,0.5446180293093873,1.8285282990128289,1.0,crispr_screen,0.0
1,4,I→Approved,15,98,6189,55804,0.15306122448979592,0.1109060282417031,1.3800983311405028,0.8657481948834714,2.200029309761561,1.4487908006237262,0.8354406799170513,2.512440241933564,0.1955607688331753,crispr_screen,0.0
1,2,I→II,27158,32897,28995,34717,0.8255464024075143,0.8351816113143417,0.9884633368643447,0.981744946405767,0.9952277033888234,0.9338697321530492,0.897088314990416,0.9721592200662263,0.0008605385514870159,europepmc,0.0
2,3,II→III,12346,24049,12581,24669,0.5133685392324006,0.5099922980258624,1.0066201807745083,0.9893056438772154,1.0242377516126497,1.0136040953128385,0.9782210259770538,1.0502669997394407,0.45732358462091116,europepmc,0.0
3,4,III→Approved,3783,10466,2421,10184,0.3614561437034206,0.237725844461901,1.5204747490605681,1.4563290336480545,1.5874458375245797,1.8150963225599142,1.7083754894140848,1.928483919715128,3.678855493140172e-84,europepmc,0.0
1,4,I→Approved,3783,27908,2421,27994,0.1355525297405762,0.08648281774666,1.5673926136132548,1.4935731387431612,1.6448605973703534,1.6563644792007757,1.5693564995832536,1.7481963395102458,1.2286962262278858e-76,europepmc,0.0
1,2,I→II,716,783,55437,66831,0.9144316730523627,0.8295102572159626,1.102375365581876,1.0787111981010664,1.1265586644331076,2.196416585829982,1.7085012284143035,2.8236712612647756,1.397854635514325e-11,eva,0.0
2,3,II→III,484,671,24443,48047,0.7213114754098361,0.5087310341956834,1.4178641107481238,1.3516238691447733,1.4873506472030489,2.4993947503315037,2.10927618090161,2.9616672176682,8.995411938531664e-29,eva,0.0
3,4,III→Approved,273,437,5931,20213,0.6247139588100686,0.2934250234997279,2.1290411818290202,1.9737188859409267,2.2965866042078185,4.008481685727328,3.295059060719008,4.876369475849471,2.1142885447164034e-45,eva,0.0
1,4,I→Approved,273,691,5931,55211,0.3950795947901592,0.10742424516853526,3.6777507179159468,3.34330300886208,4.045654942815037,5.426616617416074,4.64800657153989,6.335655395310696,2.453648241060846e-84,eva,0.0
