phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,targets
1,2,I→II,649,740,30583,36739,0.8770270270270271,0.8324396417975448,1.0535623040887405,1.0251208647407954,1.082792836215894,1.4355615936886577,1.1508056362047596,1.7907777164442387,0.0009916661014631534,"GWAS credible sets, propagated ≥ 0.5"
2,3,II→III,451,649,16221,30583,0.6949152542372882,0.5303927018278128,1.3101900758485288,1.2437317346130956,1.380199593754017,2.0167341375035104,1.703845034246588,2.3870812777116694,3.70195254513775e-17,"GWAS credible sets, propagated ≥ 0.5"
3,4,III→Approved,221,451,4262,16221,0.49002217294900224,0.26274582331545526,1.8650046145954402,1.6915525758772982,2.056242449726015,2.6961612225327976,2.2343004876669497,3.2534949430549145,4.012802994963009e-24,"GWAS credible sets, propagated ≥ 0.5"
1,4,I→Approved,221,740,4262,36739,0.29864864864864865,0.11600751245270693,2.5743905919058427,2.297103386046172,2.885149601864765,3.244795834316616,2.76327885492001,3.810219872544584,1.7058805744214277e-39,"GWAS credible sets, propagated ≥ 0.5"
1,2,I→II,577,632,30655,36847,0.9129746835443038,0.831953754715445,1.0973863371246766,1.0708228642132454,1.1246087594447338,2.119057546596284,1.604859320677766,2.798005300483452,6.7634179165647806e-09,"Open Targets GE, direct ≥ 0.5"
2,3,II→III,410,577,16262,30655,0.7105719237435009,0.530484423421954,1.3394774518728951,1.2701698927894731,1.4125668182353046,2.1729250882075477,1.8125937149253029,2.6048879018409026,2.646483078011703e-18,"Open Targets GE, direct ≥ 0.5"
3,4,III→Approved,215,410,4268,16262,0.524390243902439,0.262452342885254,1.9980398655907834,1.8156617239469317,2.198737381438966,3.098442794319083,2.5445518338906377,3.7729031972553098,1.3350541919857812e-28,"Open Targets GE, direct ≥ 0.5"
1,4,I→Approved,215,632,4268,36847,0.3401898734177215,0.11583032539962548,2.9369672600334544,2.6253008896054566,3.285633551819176,3.9356434252785215,3.328266928656107,4.653860253087435,1.5739220742035142e-48,"Open Targets GE, direct ≥ 0.5"
1,2,I→II,719,786,30513,36693,0.9147582697201018,0.8315755048646881,1.1000303212021005,1.0762748292248332,1.1243101433818017,2.1734900367888215,1.6895969925544359,2.7959678910638637,3.431413673006256e-11,Combined GE
2,3,II→III,499,719,16173,30513,0.694019471488178,0.5300363779372727,1.3093808281406527,1.245932002851168,1.376060771517965,2.011112797423315,1.7134099745700588,2.360541110410383,9.21554679299052e-19,Combined GE
3,4,III→Approved,256,499,4227,16173,0.5130260521042084,0.26136152847338157,1.9628981170289477,1.7951681801104453,2.1462997509229136,2.977309302047099,2.4893213234148006,3.5609588029785635,7.23676605912933e-32,Combined GE
1,4,I→Approved,256,786,4227,36693,0.3256997455470738,0.11519908429400703,2.82727720921665,2.5467133065058265,3.1387500105864783,3.7098865781967674,3.1848993218530053,4.321410830367135,1.4255574949313506e-53,Combined GE
