phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,experiment,similarity_threshold
1,2,I→II,2719,3364,13818,17570,0.8082639714625446,0.7864541832669323,1.0277317975536915,1.0092235891783043,1.0465794290073143,1.1446352976288652,1.0428642271651998,1.2563380068557801,0.004482022339237616,Minikel et al. GE × Citeline,0.5
2,3,II→III,1073,1997,3845,9451,0.5373059589384076,0.4068352555285155,1.3206966496558883,1.2595248338096168,1.3848394200665188,1.6931073694402694,1.5364879946871641,1.8656914823708755,2.0990961399641453e-26,Minikel et al. GE × Citeline,0.5
3,4,III→Approved,634,818,1838,2700,0.7750611246943765,0.6807407407407408,1.1385555150570275,1.0883935765077237,1.1910293195832489,1.6159696267209158,1.3457499360598155,1.9404480464849654,1.5372366082751015e-07,Minikel et al. GE × Citeline,0.5
1,4,I→Approved,634,2387,1838,12058,0.26560536237955595,0.15242992204345662,1.742475222836064,1.6103186442236768,1.8854777053527385,2.011003055852644,1.8132373807017905,2.230338583182882,2.1087001837031947e-37,Minikel et al. GE × Citeline,0.5
1,2,I→II,1733,2118,14804,18816,0.8182247403210576,0.7867772108843537,1.0399700563280885,1.0179439744549086,1.0624727344529863,1.2198872189685483,1.0864881409178733,1.369665043693565,0.0006618766092704386,Minikel et al. GE × Citeline,0.6
2,3,II→III,758,1298,4160,10150,0.5839753466872111,0.4098522167487685,1.424843694441152,1.353307619364556,1.5001611788323335,2.021198361823362,1.7975872902469976,2.272625557602885,2.2261152831692862e-32,Minikel et al. GE × Citeline,0.6
3,4,III→Approved,470,589,2002,2929,0.797962648556876,0.6835097302833731,1.1674488499615834,1.113263916832498,1.2242710795428497,1.8288014506501902,1.4740035444569417,2.2690004772901955,1.5658869233082665e-08,Minikel et al. GE × Citeline,0.6
1,4,I→Approved,470,1514,2002,12931,0.3104359313077939,0.1548217461913232,2.0051183954750664,1.8413713753534857,2.183426892416363,2.4576142248556043,2.1822360788289874,2.7677425631481967,1.5985459135992247e-45,Minikel et al. GE × Citeline,0.6
1,2,I→II,1022,1201,15515,19733,0.8509575353871773,0.7862463892971165,1.0823039024038137,1.0558333289824586,1.109438113956322,1.5522178032792198,1.3195258218087198,1.8259438875658724,3.351260956643723e-08,Minikel et al. GE × Citeline,0.7
2,3,II→III,492,777,4426,10671,0.6332046332046332,0.4147690000937119,1.5266440670869048,1.4405205319421246,1.6179166182584361,2.435798035531667,2.0946324796787175,2.832531304398551,4.2522246508878386e-32,Minikel et al. GE × Citeline,0.7
3,4,III→Approved,331,397,2141,3121,0.8337531486146096,0.6859980775392502,1.215387004589536,1.1561952932169126,1.2776090506433115,2.2955854670006937,1.7439842406042885,3.0216515227676846,2.3378437498118106e-10,Minikel et al. GE × Citeline,0.7
1,4,I→Approved,331,861,2141,13584,0.38443670150987225,0.15761189634864547,2.4391350552592734,2.222447144006777,2.676949971043504,3.337915627506103,2.8877839508364924,3.8582113226033052,8.872263017330665e-54,Minikel et al. GE × Citeline,0.7
1,2,I→II,783,924,15754,20010,0.8474025974025974,0.7873063468265867,1.076331469723624,1.0463051413824254,1.107219478236309,1.500214737763324,1.2499878866981413,1.8005328558402143,6.457196896998669e-06,Minikel et al. GE × Citeline,0.8
2,3,II→III,395,595,4523,10853,0.6638655462184874,0.41675112872016956,1.5929544048439626,1.4981577341319083,1.693749381724557,2.7640393544107895,2.3218624121984974,3.2904247523855745,4.820077479934322e-32,Minikel et al. GE × Citeline,0.8
3,4,III→Approved,276,319,2196,3199,0.8652037617554859,0.6864645201625508,1.2603765181492712,1.1998184065741186,1.3239911629943375,2.9316304485957554,2.1078299977081723,4.0773957560516925,1.416953449028118e-12,Minikel et al. GE × Citeline,0.8
1,4,I→Approved,276,660,2196,13785,0.41818181818181815,0.15930359085963003,2.6250620963735716,2.380440384994092,2.8948219217152595,3.7930754781420766,3.2281945303380186,4.456801301059221,4.609702678604585e-53,Minikel et al. GE × Citeline,0.8
1,2,I→II,674,784,15863,20150,0.8596938775510204,0.7872456575682382,1.0920274621857822,1.0606275604888868,1.1243569586464797,1.6559048213968468,1.3498517071309504,2.0313496386602097,4.059639808860529e-07,Minikel et al. GE × Citeline,0.9
2,3,II→III,340,503,4578,10945,0.6759443339960238,0.41827318410232983,1.616035547310284,1.5152186472618088,1.7235604213886146,2.90101767053419,2.3977115756791987,3.5099732637223684,5.788418269767664e-30,Minikel et al. GE × Citeline,0.9
