phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,evidence_scope,ct
1,2,I→II,589,664,15948,20270,0.8870481927710844,0.7867784903798717,1.1274433701699198,1.0962339993053227,1.1595412601192936,2.1282986372376893,1.6697754207301099,2.7127331214919983,3.340476017154254e-11,"Open Targets, germline",Citeline CT
2,3,II→III,310,445,4608,11003,0.6966292134831461,0.4187948741252386,1.6634138966916354,1.5585055016847296,1.7753840385650284,3.186808770576132,2.5945046575759094,3.914331049885127,6.404847959015727e-31,"Open Targets, germline",Citeline CT
3,4,III→Approved,215,246,2257,3272,0.8739837398373984,0.6897921760391198,1.2670247216428745,1.2019557632124376,1.3356162467773522,3.1189703717466806,2.124937979350921,4.578004757957742,7.111648380569325e-11,"Open Targets, germline",Citeline CT
1,4,I→Approved,215,456,2257,13989,0.47149122807017546,0.16134105368503823,2.922326446377353,2.6329865068994547,3.243462067434971,4.637264977377895,3.8374949180642917,5.603714644464668,1.1983249782501299e-51,"Open Targets, germline",Citeline CT
1,2,I→II,629,708,15908,20226,0.8884180790960452,0.7865124097696035,1.1295665116794449,1.0993947035072826,1.1605663555020187,2.161178357836038,1.7062483991623474,2.7374044111466236,3.6100401672566083e-12,"Open Targets, with somatic",Citeline CT
2,3,II→III,326,472,4592,10976,0.690677966101695,0.41836734693877553,1.6508887970235635,1.5481134580488445,1.7604871309451007,3.104243234213164,2.5445154090131927,3.787096758394298,1.989668256777939e-31,"Open Targets, with somatic",Citeline CT
3,4,III→Approved,229,260,2243,3258,0.8807692307692307,0.6884591774094536,1.2793339963647588,1.2165321260669122,1.3453779305821656,3.34280125983346,2.2806506406186116,4.899619461099578,2.3793455860446854e-12,"Open Targets, with somatic",Citeline CT
1,4,I→Approved,229,485,2243,13960,0.47216494845360824,0.16067335243553008,2.9386637005850966,2.65516323708337,3.252434435866414,4.672858963999109,3.8878872116974033,5.61631799187242,3.492224736422084e-55,"Open Targets, with somatic",Citeline CT
1,2,I→II,717,831,15820,20103,0.8628158844765343,0.7869472218076904,1.0964088322143977,1.0660833966909973,1.1275968944727592,1.702769645352319,1.3934332466088202,2.080777441036054,4.945344050897025e-08,"Combined, germline (headline)",Citeline CT
2,3,II→III,359,545,4559,10903,0.6587155963302752,0.4181417958360084,1.575340238383196,1.4771455644471476,1.6800624978338217,2.685808763004526,2.2408826415238203,3.2190747421411636,3.5029106295027493e-28,"Combined, germline (headline)",Citeline CT
3,4,III→Approved,247,281,2225,3237,0.8790035587188612,0.68736484399135,1.2788020312687431,1.2173963131219234,1.3433050663537562,3.304216787838731,2.2911613908977415,4.765202758919302,6.509477394966632e-13,"Combined, germline (headline)",Citeline CT
1,4,I→Approved,247,581,2225,13864,0.42512908777969016,0.16048759376803232,2.648984122686573,2.3922742730269304,2.9332409587663357,3.868442440960775,3.261653551854216,4.588116635048255,8.58844962910833e-49,"Combined, germline (headline)",Citeline CT
1,2,I→II,753,870,15784,20064,0.8655172413793103,0.7866826156299841,1.1002114756103953,1.070725571533008,1.1305093697647697,1.7451622545388383,1.4321437701421715,2.1265960570178932,5.088708320245076e-09,"Combined, + OT somatic",Citeline CT
2,3,II→III,374,569,4544,10879,0.6572934973637962,0.41768544903024174,1.5736566808584371,1.4770681515032047,1.6765613331315676,2.673900776453593,2.2395466670436193,3.1924967081652125,5.027567574787977e-29,"Combined, + OT somatic",Citeline CT
3,4,III→Approved,260,294,2212,3224,0.8843537414965986,0.6861042183622829,1.288949576213849,1.2291877733181695,1.35161693443872,3.4985639825550474,2.428470268135428,5.040189332616056,1.94194659319519e-14,"Combined, + OT somatic",Citeline CT
1,4,I→Approved,260,606,2212,13839,0.429042904290429,0.15983813859382903,2.684233613234741,2.4300754970586715,2.9649737628070385,3.9498426867637373,3.3418016762542098,4.668516794709453,1.3737464410322872e-52,"Combined, + OT somatic",Citeline CT
1,2,I→II,1140,1269,55013,66345,0.8983451536643026,0.8291958700731027,1.0833931837903432,1.063186456561908,1.1039839563786156,1.820356203332912,1.5156520745480149,2.1863175346497625,6.495161631278933e-12,"Open Targets, germline",Open Targets CT
2,3,II→III,747,1069,24180,47649,0.6987839101964453,0.5074608071523012,1.3770204523139131,1.322577905500915,1.4337040700620578,2.251661066843395,1.9734392862155767,2.569107443716156,3.954454535032817e-36,"Open Targets, germline",Open Targets CT
3,4,III→Approved,378,675,5826,19975,0.56,0.2916645807259074,1.9200137315482322,1.7897165050774562,2.0597970230901024,3.090940298973255,2.6471054769813733,3.609192007985898,5.965740582395926e-46,"Open Targets, germline",Open Targets CT
1,4,I→Approved,378,1126,5826,54776,0.33570159857904086,0.10636044983204324,3.156263433533392,2.897110176735742,3.4385985530879846,4.245925970800267,3.7409003462825474,4.819130605131215,7.501631969031756e-92,"Open Targets, germline",Open Targets CT
1,2,I→II,1260,1405,54893,66209,0.896797153024911,0.8290866800586023,1.081668750198137,1.0622962341204434,1.1013945522681239,1.7913420277819483,1.5066691638957632,2.129801510107727,1.5210018111912047e-12,"Open Targets, with somatic",Open Targets CT
2,3,II→III,792,1173,24135,47545,0.6751918158567775,0.5076243558733831,1.3301013003899105,1.2770953303846473,1.385307288506079,2.0162961295468893,1.7820179746346037,2.2813743407158236,2.244882752007671e-30,"Open Targets, with somatic",Open Targets CT
3,4,III→Approved,393,709,5811,19941,0.5543018335684062,0.291409658492553,1.9021395393542573,1.7744972689864014,2.0389633111362953,3.024104219627115,2.5997257390453803,3.5177581211026685,3.521900833954725e-46,"Open Targets, with somatic",Open Targets CT
1,4,I→Approved,393,1235,5811,54667,0.31821862348178137,0.10629813232846141,2.993642658729744,2.7492127329246148,3.2598046200058217,3.9241670825786628,3.4707367739928157,4.436835258548999,1.3208822610202518e-87,"Open Targets, with somatic",Open Targets CT
1,2,I→II,1466,1626,54687,65988,0.9015990159901599,0.8287415893798873,1.0879133224927071,1.0701871653337753,1.1059330887116252,1.8934191398321356,1.6063216637387014,2.231829477253342,2.27543112742918e-16,"Combined, germline (headline)",Open Targets CT
2,3,II→III,915,1366,24012,47352,0.6698389458272328,0.5070957932083122,1.3209317742300153,1.2713284513069525,1.372470466130686,1.972046127712197,1.7592305138241984,2.2106062277028573,4.345394885532779e-33,"Combined, germline (headline)",Open Targets CT
3,4,III→Approved,444,826,5760,19824,0.5375302663438256,0.29055690072639223,1.8499999999999999,1.730299797555014,1.9779809284125993,2.837958115183246,2.46677810558537,3.264990168875856,1.765200557866169e-47,"Combined, germline (headline)",Open Targets CT
1,4,I→Approved,444,1437,5760,54465,0.3089770354906054,0.10575599008537592,2.9216031663187194,2.694050067179141,3.168376551509717,3.7808094159113796,3.369481401101347,4.24235012390092,2.52514991911443e-94,"Combined, germline (headline)",Open Targets CT
1,2,I→II,1579,1753,54574,65861,0.9007415858528237,0.8286239200740955,1.087033048445282,1.0698612519724102,1.1044804606520275,1.8768329535895372,1.6027519593071362,2.197783577942023,3.50088864826344e-17,"Combined, + OT somatic",Open Targets CT
2,3,II→III,957,1464,23970,47254,0.6536885245901639,0.5072586447708131,1.2886690672083272,1.2402107554185144,1.339020773303309,1.8335532828264127,1.6439381144167498,2.0450390507286733,1.049304999522911e-28,"Combined, + OT somatic",Open Targets CT
3,4,III→Approved,458,857,5746,19793,0.5344224037339557,0.29030465316020815,1.8409019556397814,1.7230190502877694,1.9668499949042193,2.8061478094819368,2.4452014611476702,3.22037494815022,4.759672677815352e-48,"Combined, + OT somatic",Open Targets CT
1,4,I→Approved,458,1538,5746,54364,0.2977893368010403,0.10569494518431315,2.81744161257427,2.599406871877093,3.0537648130986526,3.5881714816103956,3.2058724691834604,4.016059498686613,2.664116740079944e-91,"Combined, + OT somatic",Open Targets CT
1,2,I→II,11920,12505,1940300,2124173,0.953218712514994,0.9134378414564163,1.0435507149508387,1.039483787252691,1.0476335542977344,1.9309430606157916,1.776902451556205,2.0983375311767043,6.040968755241116e-66,"Open Targets, germline",Combined CT
2,3,II→III,8884,11288,1188780,1790480,0.7870304748405387,0.663944863947098,1.185385289618338,1.1739981824801822,1.1968828451463724,1.870478015479117,1.7878755644656956,1.956896819850141,4.08187339346401e-181,"Open Targets, germline",Combined CT
3,4,III→Approved,5879,8389,625749,1080058,0.7007986649183454,0.579366108116416,1.2095955477905331,1.1926905530886927,1.2267401510355362,1.7005167531532999,1.6226234626619496,1.7821492751072696,8.765938112039899e-116,"Open Targets, germline",Combined CT
1,4,I→Approved,5879,11378,625749,1865631,0.5166988925997539,0.33540877054465756,1.540505013511442,1.5131977690092917,1.568305045947577,2.1183608008243664,2.0416283663095967,2.19797714242219,0.0,"Open Targets, germline",Combined CT
1,2,I→II,13352,13991,1938868,2122687,0.954327782145665,0.913402682543399,1.0448051011721455,1.041000043680927,1.0486240668880558,1.9810143513294012,1.829598200948745,2.144961586723263,4.680741781036095e-78,"Open Targets, with somatic",Combined CT
2,3,II→III,9747,12570,1187917,1789198,0.775417661097852,0.6639382561348716,1.16790628335225,1.156903451174651,1.1790137589344525,1.7476379673176696,1.6757470324026682,1.8226130828536224,6.2632583641651104e-164,"Open Targets, with somatic",Combined CT
3,4,III→Approved,6138,9089,625490,1079358,0.6753218175816922,0.5795018890859196,1.165348776769157,1.1487510647715518,1.1821863005519293,1.5092697499338763,1.4441999526286344,1.5772713286130466,6.928772446248775e-78,"Open Targets, with somatic",Combined CT
1,4,I→Approved,6138,12551,625490,1864458,0.4890446976336547,0.3354808743345251,1.4577424081290644,1.4317432842826237,1.484213651836798,1.8958560680536236,1.8304113104831257,1.9636407457660763,3.411940891909397e-273,"Open Targets, with somatic",Combined CT
